,source,true,tokenized_source,tokenized_true,scores_true,scores_source
314,настроене не понятное какоето солено-сладкое с одной стороны жалко расставаться с родителями и другими близкими людьми с другой радость от наконецто сбывающеся мечты,настроение непонятное какое-то солено-сладкое с одной стороны жалко расставаться с родителями и другими близкими людьми с другой радость от наконец-то сбывающейся мечты,"['настроене', 'не', 'понятное', 'какоето', 'солено-сладкое', 'с', 'одной', 'стороны', 'жалко', 'расставаться', 'с', 'родителями', 'и', 'другими', 'близкими', 'людьми', 'с', 'другой', 'радость', 'от', 'наконецто', 'сбывающеся', 'мечты']","['настроение', 'непонятное', 'какое-то', 'солено-сладкое', 'с', 'одной', 'стороны', 'жалко', 'расставаться', 'с', 'родителями', 'и', 'другими', 'близкими', 'людьми', 'с', 'другой', 'радость', 'от', 'наконец-то', 'сбывающейся', 'мечты']",-195.96144700464657,-212.14668689687352
315,решили седня перед отездом лобстеров навернуть так я от жадности аж 4 штуки купил здесь то они копейкт стоят а калифорнии подороже в результате сьели только 2-х остальных соседям оставим,решили сегодня перед отъездом лобстеров навернуть так я от жадности аж 4 штуки купил здесь-то они копейки стоят а в калифорнии подороже в результате съели только двух остальных соседям оставим,"['решили', 'седня', 'перед', 'отездом', 'лобстеров', 'навернуть', 'так', 'я', 'от', 'жадности', 'аж', '4', 'штуки', 'купил', 'здесь', 'то', 'они', 'копейкт', 'стоят', 'а', 'калифорнии', 'подороже', 'в', 'результате', 'сьели', 'только', '2-х', 'остальных', 'соседям', 'оставим']","['решили', 'сегодня', 'перед', 'отъездом', 'лобстеров', 'навернуть', 'так', 'я', 'от', 'жадности', 'аж', '4', 'штуки', 'купил', 'здесь-то', 'они', 'копейки', 'стоят', 'а', 'в', 'калифорнии', 'подороже', 'в', 'результате', 'съели', 'только', 'двух', 'остальных', 'соседям', 'оставим']",-341.5765314633385,-412.47275196639845
316,публика была супер точнее ее не было вообщем такой себе концерт для друзей но мне такое не по-душе я больше люблю подготовленных слушателей,публика была супер точнее ее не было в общем такой себе концерт для друзей но мне такое не по душе я больше люблю подготовленных слушателей,"['публика', 'была', 'супер', 'точнее', 'ее', 'не', 'было', 'вообщем', 'такой', 'себе', 'концерт', 'для', 'друзей', 'но', 'мне', 'такое', 'не', 'по-душе', 'я', 'больше', 'люблю', 'подготовленных', 'слушателей']","['публика', 'была', 'супер', 'точнее', 'ее', 'не', 'было', 'в', 'общем', 'такой', 'себе', 'концерт', 'для', 'друзей', 'но', 'мне', 'такое', 'не', 'по', 'душе', 'я', 'больше', 'люблю', 'подготовленных', 'слушателей']",-223.0426221218203,-263.8665311886483
317,обе картины так радуют глаз декорациями что хочется просто встать и начать апплодировать декораторам,обе картины так радуют глаз декорациями что хочется просто встать и начать аплодировать декораторам,"['обе', 'картины', 'так', 'радуют', 'глаз', 'декорациями', 'что', 'хочется', 'просто', 'встать', 'и', 'начать', 'апплодировать', 'декораторам']","['обе', 'картины', 'так', 'радуют', 'глаз', 'декорациями', 'что', 'хочется', 'просто', 'встать', 'и', 'начать', 'аплодировать', 'декораторам']",-150.89432836972654,-172.04966422940083
318,даже странно осозновать что сегодня твоей сестре 22 а через 4 месяца и тебе же 22,даже странно осознавать что сегодня твоей сестре 22 а через 4 месяца и тебе же 22,"['даже', 'странно', 'осозновать', 'что', 'сегодня', 'твоей', 'сестре', '22', 'а', 'через', '4', 'месяца', 'и', 'тебе', 'же', '22']","['даже', 'странно', 'осознавать', 'что', 'сегодня', 'твоей', 'сестре', '22', 'а', 'через', '4', 'месяца', 'и', 'тебе', 'же', '22']",-157.92295671716917,-169.33583775165752
319,в общем очень приятное произведение непохожее на последующие у ремарка,в общем очень приятное произведение непохожее на последующие у ремарка,"['в', 'общем', 'очень', 'приятное', 'произведение', 'непохожее', 'на', 'последующие', 'у', 'ремарка']","['в', 'общем', 'очень', 'приятное', 'произведение', 'непохожее', 'на', 'последующие', 'у', 'ремарка']",-138.13492339457002,-138.13513897757414
320,дозоры мне все же както ближе както больше мне верится в иных в слои сумрака чем в кучу параллельных миров в целом похожих но с изменненным ходом истории хотя задуматься тоже есть над чем,дозоры мне все же как-то ближе как-то больше мне верится в иных в слои сумрака чем в кучу параллельных миров в целом похожих но с измененным ходом истории хотя задуматься тоже есть над чем,"['дозоры', 'мне', 'все', 'же', 'както', 'ближе', 'както', 'больше', 'мне', 'верится', 'в', 'иных', 'в', 'слои', 'сумрака', 'чем', 'в', 'кучу', 'параллельных', 'миров', 'в', 'целом', 'похожих', 'но', 'с', 'изменненным', 'ходом', 'истории', 'хотя', 'задуматься', 'тоже', 'есть', 'над', 'чем']","['дозоры', 'мне', 'все', 'же', 'как-то', 'ближе', 'как-то', 'больше', 'мне', 'верится', 'в', 'иных', 'в', 'слои', 'сумрака', 'чем', 'в', 'кучу', 'параллельных', 'миров', 'в', 'целом', 'похожих', 'но', 'с', 'измененным', 'ходом', 'истории', 'хотя', 'задуматься', 'тоже', 'есть', 'над', 'чем']",-285.899519101519,-330.7403706328705
321,у тебя продуктивная бессоница я просто не могу спать и все тут,у тебя продуктивная бессонница я просто не могу спать и все тут,"['у', 'тебя', 'продуктивная', 'бессоница', 'я', 'просто', 'не', 'могу', 'спать', 'и', 'все', 'тут']","['у', 'тебя', 'продуктивная', 'бессонница', 'я', 'просто', 'не', 'могу', 'спать', 'и', 'все', 'тут']",-119.05639592584913,-128.7251785784115
322,эмиссары турецкой исламской секты сулейманджи тесно связанной с иностранными спецслужбами прочно обосновались в московской резиденции таджуддина откуда практически,эмиссары турецкой исламской секты сулейманджи тесно связанной с иностранными спецслужбами прочно обосновались в московской резиденции таджуддина откуда практически,"['эмиссары', 'турецкой', 'исламской', 'секты', 'сулейманджи', 'тесно', 'связанной', 'с', 'иностранными', 'спецслужбами', 'прочно', 'обосновались', 'в', 'московской', 'резиденции', 'таджуддина', 'откуда', 'практически']","['эмиссары', 'турецкой', 'исламской', 'секты', 'сулейманджи', 'тесно', 'связанной', 'с', 'иностранными', 'спецслужбами', 'прочно', 'обосновались', 'в', 'московской', 'резиденции', 'таджуддина', 'откуда', 'практически']",-184.77272793512657,-184.7702026612428
323,еще были более замысловатые штуки типо длинных историй про опознание животных где крот рифмовался с в рот или не в рифму выдвалось дежурство на этаже в дурке,еще были более замысловатые штуки типа длинных историй про опознание животных где крот рифмовался с в рот или не в рифму выдавалось дежурство на этаже в дурке,"['еще', 'были', 'более', 'замысловатые', 'штуки', 'типо', 'длинных', 'историй', 'про', 'опознание', 'животных', 'где', 'крот', 'рифмовался', 'с', 'в', 'рот', 'или', 'не', 'в', 'рифму', 'выдвалось', 'дежурство', 'на', 'этаже', 'в', 'дурке']","['еще', 'были', 'более', 'замысловатые', 'штуки', 'типа', 'длинных', 'историй', 'про', 'опознание', 'животных', 'где', 'крот', 'рифмовался', 'с', 'в', 'рот', 'или', 'не', 'в', 'рифму', 'выдавалось', 'дежурство', 'на', 'этаже', 'в', 'дурке']",-284.96880263279195,-307.3820566481812
324,но когда мы приехали в аэропорт и прошло регистрацию и два часа ждали когда оно полетит страх кудато исчез,но когда мы приехали в аэропорт и прошли регистрацию и два часа ждали когда оно полетит страх куда-то исчез,"['но', 'когда', 'мы', 'приехали', 'в', 'аэропорт', 'и', 'прошло', 'регистрацию', 'и', 'два', 'часа', 'ждали', 'когда', 'оно', 'полетит', 'страх', 'кудато', 'исчез']","['но', 'когда', 'мы', 'приехали', 'в', 'аэропорт', 'и', 'прошли', 'регистрацию', 'и', 'два', 'часа', 'ждали', 'когда', 'оно', 'полетит', 'страх', 'куда-то', 'исчез']",-141.81244310172127,-170.6767355809118
325,что в пику вам в шестом году рожденья,что в пику вам в шестом году рожденья,"['что', 'в', 'пику', 'вам', 'в', 'шестом', 'году', 'рожденья']","['что', 'в', 'пику', 'вам', 'в', 'шестом', 'году', 'рожденья']",-94.76907806439674,-94.80633173729326
326,отчим открыл дверь в подъезд там выломанная дверь вся в крови исцарапана,отчим открыл дверь в подъезд там выломанная дверь вся в крови исцарапана,"['отчим', 'открыл', 'дверь', 'в', 'подъезд', 'там', 'выломанная', 'дверь', 'вся', 'в', 'крови', 'исцарапана']","['отчим', 'открыл', 'дверь', 'в', 'подъезд', 'там', 'выломанная', 'дверь', 'вся', 'в', 'крови', 'исцарапана']",-128.5256461770639,-128.43577082667088
327,говоря о своем предназначении он использует выражение добрый пастырь,говоря о своем предназначении он использует выражение добрый пастырь,"['говоря', 'о', 'своем', 'предназначении', 'он', 'использует', 'выражение', 'добрый', 'пастырь']","['говоря', 'о', 'своем', 'предназначении', 'он', 'использует', 'выражение', 'добрый', 'пастырь']",-107.1495755478965,-107.13616230105566
328,со смартфоном или планшетом такая оптическая гарнитура соединяется через bluetooth,со смартфоном или планшетом такая оптическая гарнитура соединяется через bluetooth,"['со', 'смартфоном', 'или', 'планшетом', 'такая', 'оптическая', 'гарнитура', 'соединяется', 'через', 'bluetooth']","['со', 'смартфоном', 'или', 'планшетом', 'такая', 'оптическая', 'гарнитура', 'соединяется', 'через', 'bluetooth']",-94.31051391348832,-94.25530184891036
329,дефолты они и в африке дефолты тут ты прально сказала,дефолты они и в африке дефолты тут ты правильно сказала,"['дефолты', 'они', 'и', 'в', 'африке', 'дефолты', 'тут', 'ты', 'прально', 'сказала']","['дефолты', 'они', 'и', 'в', 'африке', 'дефолты', 'тут', 'ты', 'правильно', 'сказала']",-159.17645607255133,-168.61823966211142
330,ваще нечего не делаю тупо пялюсь на десктоп иногда конешно смотрю старые добрые фильмы,вообще ничего не делаю тупо пялюсь на десктоп иногда конечно смотрю старые добрые фильмы,"['ваще', 'нечего', 'не', 'делаю', 'тупо', 'пялюсь', 'на', 'десктоп', 'иногда', 'конешно', 'смотрю', 'старые', 'добрые', 'фильмы']","['вообще', 'ничего', 'не', 'делаю', 'тупо', 'пялюсь', 'на', 'десктоп', 'иногда', 'конечно', 'смотрю', 'старые', 'добрые', 'фильмы']",-159.00667397288976,-182.77000712178727
331,он и она легко ложаться впостель легко влюбляются легко теряют голову легко расстаются,он и она легко ложатся в постель легко влюбляются легко теряют голову легко расстаются,"['он', 'и', 'она', 'легко', 'ложаться', 'впостель', 'легко', 'влюбляются', 'легко', 'теряют', 'голову', 'легко', 'расстаются']","['он', 'и', 'она', 'легко', 'ложатся', 'в', 'постель', 'легко', 'влюбляются', 'легко', 'теряют', 'голову', 'легко', 'расстаются']",-159.31026348910083,-193.49375937639502
332,в детройте открывается ежегодный международный автосалон,в детройте открывается ежегодный международный автосалон,"['в', 'детройте', 'открывается', 'ежегодный', 'международный', 'автосалон']","['в', 'детройте', 'открывается', 'ежегодный', 'международный', 'автосалон']",-82.55670398591023,-82.55623751672546
333,а может быть и дружбой мужчины и женщины объединенных общей целью,а может быть и дружбой мужчины и женщины объединенных общей целью,"['а', 'может', 'быть', 'и', 'дружбой', 'мужчины', 'и', 'женщины', 'объединенных', 'общей', 'целью']","['а', 'может', 'быть', 'и', 'дружбой', 'мужчины', 'и', 'женщины', 'объединенных', 'общей', 'целью']",-83.16254080633811,-83.16603511247564
334,ваши враги будут терпеливо ждать танцуя вокруг пока вы не отправите их всех по одному в нокаут,ваши враги будут терпеливо ждать танцуя вокруг пока вы не отправите их всех по одному в нокаут,"['ваши', 'враги', 'будут', 'терпеливо', 'ждать', 'танцуя', 'вокруг', 'пока', 'вы', 'не', 'отправите', 'их', 'всех', 'по', 'одному', 'в', 'нокаут']","['ваши', 'враги', 'будут', 'терпеливо', 'ждать', 'танцуя', 'вокруг', 'пока', 'вы', 'не', 'отправите', 'их', 'всех', 'по', 'одному', 'в', 'нокаут']",-136.3078713267256,-136.29005823220209
335,канадец не стал изобретать велосипед и сам вколотил снаряд в сетку броском с кисти 2:1 сумашедший гол защитника приморцев,канадец не стал изобретать велосипед и сам вколотил снаряд в сетку броском с кисти 2:1 сумасшедший гол защитника приморцев,"['канадец', 'не', 'стал', 'изобретать', 'велосипед', 'и', 'сам', 'вколотил', 'снаряд', 'в', 'сетку', 'броском', 'с', 'кисти', '2:1', 'сумашедший', 'гол', 'защитника', 'приморцев']","['канадец', 'не', 'стал', 'изобретать', 'велосипед', 'и', 'сам', 'вколотил', 'снаряд', 'в', 'сетку', 'броском', 'с', 'кисти', '2:1', 'сумасшедший', 'гол', 'защитника', 'приморцев']",-171.37545407846835,-186.59094494703535
336,идем мы по улице и в далеке видим маленькую собачонку что-то типа болонки,идем мы по улице и вдалеке видим маленькую собачонку что-то типа болонки,"['идем', 'мы', 'по', 'улице', 'и', 'в', 'далеке', 'видим', 'маленькую', 'собачонку', 'что-то', 'типа', 'болонки']","['идем', 'мы', 'по', 'улице', 'и', 'вдалеке', 'видим', 'маленькую', 'собачонку', 'что-то', 'типа', 'болонки']",-101.5162349140603,-111.05044456938896
337,люблю учиться но не хочу продолжать делать это в нашем городе,люблю учиться но не хочу продолжать делать это в нашем городе,"['люблю', 'учиться', 'но', 'не', 'хочу', 'продолжать', 'делать', 'это', 'в', 'нашем', 'городе']","['люблю', 'учиться', 'но', 'не', 'хочу', 'продолжать', 'делать', 'это', 'в', 'нашем', 'городе']",-84.10943187702895,-84.10901957762808
338,часто бывает сутулым и имеет скептичное выражение лица,часто бывает сутулым и имеет скептичное выражение лица,"['часто', 'бывает', 'сутулым', 'и', 'имеет', 'скептичное', 'выражение', 'лица']","['часто', 'бывает', 'сутулым', 'и', 'имеет', 'скептичное', 'выражение', 'лица']",-95.01418316757075,-95.01249013017697
339,их воспринимать как детей которые хотят поиграть в большую песочницу и насалить взрослым,их воспринимать как детей которые хотят поиграть в большую песочницу и насолить взрослым,"['их', 'воспринимать', 'как', 'детей', 'которые', 'хотят', 'поиграть', 'в', 'большую', 'песочницу', 'и', 'насалить', 'взрослым']","['их', 'воспринимать', 'как', 'детей', 'которые', 'хотят', 'поиграть', 'в', 'большую', 'песочницу', 'и', 'насолить', 'взрослым']",-109.33674352007368,-117.10998967521022
340,но это товары не для людей а для промышленности,но это товары не для людей а для промышленности,"['но', 'это', 'товары', 'не', 'для', 'людей', 'а', 'для', 'промышленности']","['но', 'это', 'товары', 'не', 'для', 'людей', 'а', 'для', 'промышленности']",-90.67875230551246,-90.6788536056084
341,некоторые люди начинают просто изжевать себя,некоторые люди начинают просто изживать себя,"['некоторые', 'люди', 'начинают', 'просто', 'изжевать', 'себя']","['некоторые', 'люди', 'начинают', 'просто', 'изживать', 'себя']",-68.30250866926761,-79.1112474970061
342,я там тоже переодически свою любовь нахожу,я там тоже периодически свою любовь нахожу,"['я', 'там', 'тоже', 'переодически', 'свою', 'любовь', 'нахожу']","['я', 'там', 'тоже', 'периодически', 'свою', 'любовь', 'нахожу']",-86.52433917322861,-95.24454357326474
343,один из помощников маккейна рассказал cnn что управляющий кампанией рик дэвис rick davis уволил шенемана после того как к нему поступила информация о том что шенеман лично общается с журналистами и передает им ложные сведения о сотрудниках штаба республиканского кандидата в президенты,один из помощников маккейна рассказал cnn что управляющий кампанией рик дэвис rick davis уволил шенемана после того как к нему поступила информация о том что шенеман лично общается с журналистами и передает им ложные сведения о сотрудниках штаба республиканского кандидата в президенты,"['один', 'из', 'помощников', 'маккейна', 'рассказал', 'cnn', 'что', 'управляющий', 'кампанией', 'рик', 'дэвис', 'rick', 'davis', 'уволил', 'шенемана', 'после', 'того', 'как', 'к', 'нему', 'поступила', 'информация', 'о', 'том', 'что', 'шенеман', 'лично', 'общается', 'с', 'журналистами', 'и', 'передает', 'им', 'ложные', 'сведения', 'о', 'сотрудниках', 'штаба', 'республиканского', 'кандидата', 'в', 'президенты']","['один', 'из', 'помощников', 'маккейна', 'рассказал', 'cnn', 'что', 'управляющий', 'кампанией', 'рик', 'дэвис', 'rick', 'davis', 'уволил', 'шенемана', 'после', 'того', 'как', 'к', 'нему', 'поступила', 'информация', 'о', 'том', 'что', 'шенеман', 'лично', 'общается', 'с', 'журналистами', 'и', 'передает', 'им', 'ложные', 'сведения', 'о', 'сотрудниках', 'штаба', 'республиканского', 'кандидата', 'в', 'президенты']",-263.97680867267167,-263.9773409718612
344,я думал этот снимок вообще нигде не печатался а просто по интернетам раскидан чисто для привлечения внимания к автору,я думал этот снимок вообще нигде не печатался а просто по интернетам раскидан чисто для привлечения внимания к автору,"['я', 'думал', 'этот', 'снимок', 'вообще', 'нигде', 'не', 'печатался', 'а', 'просто', 'по', 'интернетам', 'раскидан', 'чисто', 'для', 'привлечения', 'внимания', 'к', 'автору']","['я', 'думал', 'этот', 'снимок', 'вообще', 'нигде', 'не', 'печатался', 'а', 'просто', 'по', 'интернетам', 'раскидан', 'чисто', 'для', 'привлечения', 'внимания', 'к', 'автору']",-159.1220757535663,-159.12096918554698
345,все хватит перед всеми приклонятся и закрывать на все глаза,все хватит перед всеми преклоняться и закрывать на все глаза,"['все', 'хватит', 'перед', 'всеми', 'приклонятся', 'и', 'закрывать', 'на', 'все', 'глаза']","['все', 'хватит', 'перед', 'всеми', 'преклоняться', 'и', 'закрывать', 'на', 'все', 'глаза']",-94.31362737620667,-112.04290651059272
346,а теща запишим на ее место маргеналов и прочую аппозицию бедт тебя ненавидить хоть бы ты озолотил 10 раз всю,а теща запишем на ее место маргиналов и прочую оппозицию будет тебя ненавидеть хоть бы ты озолотил 10 раз всю,"['а', 'теща', 'запишим', 'на', 'ее', 'место', 'маргеналов', 'и', 'прочую', 'аппозицию', 'бедт', 'тебя', 'ненавидить', 'хоть', 'бы', 'ты', 'озолотил', '10', 'раз', 'всю']","['а', 'теща', 'запишем', 'на', 'ее', 'место', 'маргиналов', 'и', 'прочую', 'оппозицию', 'будет', 'тебя', 'ненавидеть', 'хоть', 'бы', 'ты', 'озолотил', '10', 'раз', 'всю']",-209.77470040611075,-228.39311881874
347,если что-то в питере и не дает взлететь так это нежность ко всему вокруг и тот кто в эту секунду берет тебя за руку прижимает к себе и целует в лоб,если что-то в питере и не дает взлететь так это нежность ко всему вокруг и тот кто в эту секунду берет тебя за руку прижимает к себе и целует в лоб,"['если', 'что-то', 'в', 'питере', 'и', 'не', 'дает', 'взлететь', 'так', 'это', 'нежность', 'ко', 'всему', 'вокруг', 'и', 'тот', 'кто', 'в', 'эту', 'секунду', 'берет', 'тебя', 'за', 'руку', 'прижимает', 'к', 'себе', 'и', 'целует', 'в', 'лоб']","['если', 'что-то', 'в', 'питере', 'и', 'не', 'дает', 'взлететь', 'так', 'это', 'нежность', 'ко', 'всему', 'вокруг', 'и', 'тот', 'кто', 'в', 'эту', 'секунду', 'берет', 'тебя', 'за', 'руку', 'прижимает', 'к', 'себе', 'и', 'целует', 'в', 'лоб']",-198.1270866967501,-198.12747332718155
348,вот откапала мама мои каляки-маляки,вот откопала мама мои каляки-маляки,"['вот', 'откапала', 'мама', 'мои', 'каляки-маляки']","['вот', 'откопала', 'мама', 'мои', 'каляки-маляки']",-100.53653158788995,-97.96857549622851
349,аккумулируется в глубинные токи,аккумулируется в глубинные токи,"['аккумулируется', 'в', 'глубинные', 'токи']","['аккумулируется', 'в', 'глубинные', 'токи']",-81.91686920278342,-81.93568558800632
350,вот я и снова с вами к сожелению не на долга,вот я и снова с вами к сожалению ненадолго,"['вот', 'я', 'и', 'снова', 'с', 'вами', 'к', 'сожелению', 'не', 'на', 'долга']","['вот', 'я', 'и', 'снова', 'с', 'вами', 'к', 'сожалению', 'ненадолго']",-91.08769559666855,-109.84583462021199
351,вроде бы и про вампиров и про мальчиков но уж как-то черезчур по девичьи,вроде бы и про вампиров и про мальчиков но уж как-то череcчур по-девичьи,"['вроде', 'бы', 'и', 'про', 'вампиров', 'и', 'про', 'мальчиков', 'но', 'уж', 'как-то', 'черезчур', 'по', 'девичьи']","['вроде', 'бы', 'и', 'про', 'вампиров', 'и', 'про', 'мальчиков', 'но', 'уж', 'как-то', 'череcчур', 'по-девичьи']",-132.9173678321311,-137.26144958575645
352,а шоколад кстате ваще очень вкусен да,а шоколад кстати вообще очень вкусен да,"['а', 'шоколад', 'кстате', 'ваще', 'очень', 'вкусен', 'да']","['а', 'шоколад', 'кстати', 'вообще', 'очень', 'вкусен', 'да']",-104.82093226783712,-116.06212197307232
353,уильям почувствовал как в его бедра впились пальцы удерживая его на месте,уильям почувствовал как в его бедра впились пальцы удерживая его на месте,"['уильям', 'почувствовал', 'как', 'в', 'его', 'бедра', 'впились', 'пальцы', 'удерживая', 'его', 'на', 'месте']","['уильям', 'почувствовал', 'как', 'в', 'его', 'бедра', 'впились', 'пальцы', 'удерживая', 'его', 'на', 'месте']",-121.31682054713224,-121.31681353181695
354,также у них нет никаких иллюзий о том что на митинге может быть разработана политическая программа или выдвинуто новое правительство этого они не требуют и не ждут причина их присутствия намного менее амбициозна но одновременно и более фундаментальна,также у них нет никаких иллюзий о том что на митинге может быть разработана политическая программа или выдвинуто новое правительство этого они не требуют и не ждут причина их присутствия намного менее амбициозна но одновременно и более фундаментальна,"['также', 'у', 'них', 'нет', 'никаких', 'иллюзий', 'о', 'том', 'что', 'на', 'митинге', 'может', 'быть', 'разработана', 'политическая', 'программа', 'или', 'выдвинуто', 'новое', 'правительство', 'этого', 'они', 'не', 'требуют', 'и', 'не', 'ждут', 'причина', 'их', 'присутствия', 'намного', 'менее', 'амбициозна', 'но', 'одновременно', 'и', 'более', 'фундаментальна']","['также', 'у', 'них', 'нет', 'никаких', 'иллюзий', 'о', 'том', 'что', 'на', 'митинге', 'может', 'быть', 'разработана', 'политическая', 'программа', 'или', 'выдвинуто', 'новое', 'правительство', 'этого', 'они', 'не', 'требуют', 'и', 'не', 'ждут', 'причина', 'их', 'присутствия', 'намного', 'менее', 'амбициозна', 'но', 'одновременно', 'и', 'более', 'фундаментальна']",-218.42154203453526,-218.42121275988916
355,это когда выходишь за дверь подъезда и не понимаешь это реальность или реалистичный сон я даже и сейчас не уверена это я сплю или в реальности сижу здесь да ну гон нельзя во сне писать пост к тому же я спросила сашу он сказал это реал это мне не сница,это когда выходишь за дверь подъезда и не понимаешь это реальность или реалистичный сон я даже и сейчас не уверена это я сплю или в реальности сижу здесь да ну гон нельзя во сне писать пост к тому же я спросила сашу он сказал это реал это мне не снится,"['это', 'когда', 'выходишь', 'за', 'дверь', 'подъезда', 'и', 'не', 'понимаешь', 'это', 'реальность', 'или', 'реалистичный', 'сон', 'я', 'даже', 'и', 'сейчас', 'не', 'уверена', 'это', 'я', 'сплю', 'или', 'в', 'реальности', 'сижу', 'здесь', 'да', 'ну', 'гон', 'нельзя', 'во', 'сне', 'писать', 'пост', 'к', 'тому', 'же', 'я', 'спросила', 'сашу', 'он', 'сказал', 'это', 'реал', 'это', 'мне', 'не', 'сница']","['это', 'когда', 'выходишь', 'за', 'дверь', 'подъезда', 'и', 'не', 'понимаешь', 'это', 'реальность', 'или', 'реалистичный', 'сон', 'я', 'даже', 'и', 'сейчас', 'не', 'уверена', 'это', 'я', 'сплю', 'или', 'в', 'реальности', 'сижу', 'здесь', 'да', 'ну', 'гон', 'нельзя', 'во', 'сне', 'писать', 'пост', 'к', 'тому', 'же', 'я', 'спросила', 'сашу', 'он', 'сказал', 'это', 'реал', 'это', 'мне', 'не', 'снится']",-394.96220740174135,-393.59262199726226
356,хармсу подрожать нельзя ему можно следовать что и я иногда делаю,хармсу подражать нельзя ему можно следовать что и я иногда делаю,"['хармсу', 'подрожать', 'нельзя', 'ему', 'можно', 'следовать', 'что', 'и', 'я', 'иногда', 'делаю']","['хармсу', 'подражать', 'нельзя', 'ему', 'можно', 'следовать', 'что', 'и', 'я', 'иногда', 'делаю']",-155.3813464491272,-157.7233978454841
357,там мы встретили хорошего чиновника который в обеденный перерыв на пальцах и доходчиво объяснил что на том участке ничего строить низзя,там мы встретили хорошего чиновника который в обеденный перерыв на пальцах и доходчиво объяснил что на том участке ничего строить нельзя,"['там', 'мы', 'встретили', 'хорошего', 'чиновника', 'который', 'в', 'обеденный', 'перерыв', 'на', 'пальцах', 'и', 'доходчиво', 'объяснил', 'что', 'на', 'том', 'участке', 'ничего', 'строить', 'низзя']","['там', 'мы', 'встретили', 'хорошего', 'чиновника', 'который', 'в', 'обеденный', 'перерыв', 'на', 'пальцах', 'и', 'доходчиво', 'объяснил', 'что', 'на', 'том', 'участке', 'ничего', 'строить', 'нельзя']",-137.49965452251976,-168.33553375036755
358,думаю народ сдесь гостеприимный и приветливый если так то давайте с вами знакомится,думаю народ здесь гостеприимный и приветливый если так то давайте с вами знакомиться,"['думаю', 'народ', 'сдесь', 'гостеприимный', 'и', 'приветливый', 'если', 'так', 'то', 'давайте', 'с', 'вами', 'знакомится']","['думаю', 'народ', 'здесь', 'гостеприимный', 'и', 'приветливый', 'если', 'так', 'то', 'давайте', 'с', 'вами', 'знакомиться']",-140.63070582625977,-170.51374102809945
359,диктант лучше но все ранво куча тупых ошибок,диктант лучше но все равно куча тупых ошибок,"['диктант', 'лучше', 'но', 'все', 'ранво', 'куча', 'тупых', 'ошибок']","['диктант', 'лучше', 'но', 'все', 'равно', 'куча', 'тупых', 'ошибок']",-110.55212546455562,-146.1090747745887
360,быть человеком максимально возможно свободным от государственного принуждения как такового любой фармации,быть человеком максимально возможно свободным от государственного принуждения как такового любой формации,"['быть', 'человеком', 'максимально', 'возможно', 'свободным', 'от', 'государственного', 'принуждения', 'как', 'такового', 'любой', 'фармации']","['быть', 'человеком', 'максимально', 'возможно', 'свободным', 'от', 'государственного', 'принуждения', 'как', 'такового', 'любой', 'формации']",-109.88788615325764,-128.93664255030265
361,и огда проклинают вас мне не нравится что вы хотите благословить проклинающих,и когда проклинают вас мне не нравится что вы хотите благословить проклинающих,"['и', 'огда', 'проклинают', 'вас', 'мне', 'не', 'нравится', 'что', 'вы', 'хотите', 'благословить', 'проклинающих']","['и', 'когда', 'проклинают', 'вас', 'мне', 'не', 'нравится', 'что', 'вы', 'хотите', 'благословить', 'проклинающих']",-125.95290103258642,-141.2126732114461
362,так что возможно в ближайшее время приобрету статус бездомного,так что возможно в ближайшее время приобрету статус бездомного,"['так', 'что', 'возможно', 'в', 'ближайшее', 'время', 'приобрету', 'статус', 'бездомного']","['так', 'что', 'возможно', 'в', 'ближайшее', 'время', 'приобрету', 'статус', 'бездомного']",-96.59147122584731,-96.61462083917088
363,и он уже смерился с этой мыслью,и он уже смирился с этой мыслью,"['и', 'он', 'уже', 'смерился', 'с', 'этой', 'мыслью']","['и', 'он', 'уже', 'смирился', 'с', 'этой', 'мыслью']",-60.98552933342547,-77.38265167845293
364,и люди стоящие у власти политической религиозной общественной имеют власть только потому что цивилизация еще не случилась,и люди стоящие у власти политической религиозной общественной имеют власть только потому что цивилизация еще не случилась,"['и', 'люди', 'стоящие', 'у', 'власти', 'политической', 'религиозной', 'общественной', 'имеют', 'власть', 'только', 'потому', 'что', 'цивилизация', 'еще', 'не', 'случилась']","['и', 'люди', 'стоящие', 'у', 'власти', 'политической', 'религиозной', 'общественной', 'имеют', 'власть', 'только', 'потому', 'что', 'цивилизация', 'еще', 'не', 'случилась']",-167.86848948479093,-167.8684062054939
365,сегодня когда народ участвовал в выборном спектакле мы с тестем поехали в магазин за кроссовками,сегодня когда народ участвовал в выборном спектакле мы с тестем поехали в магазин за кроссовками,"['сегодня', 'когда', 'народ', 'участвовал', 'в', 'выборном', 'спектакле', 'мы', 'с', 'тестем', 'поехали', 'в', 'магазин', 'за', 'кроссовками']","['сегодня', 'когда', 'народ', 'участвовал', 'в', 'выборном', 'спектакле', 'мы', 'с', 'тестем', 'поехали', 'в', 'магазин', 'за', 'кроссовками']",-132.78786147114394,-132.78991914103187
366,у нас кагбэ завязался диалог,у нас как бы завязался диалог,"['у', 'нас', 'кагбэ', 'завязался', 'диалог']","['у', 'нас', 'как', 'бы', 'завязался', 'диалог']",-65.59100249014651,-87.38620687966447
