,source,true,tokenized_source,tokenized_true,scores_true,scores_source
486,не скрою в нашей редакции такие макеты тоже есть когда рекламы нет и называются они затычками пардон за ассоциации но у нас в них нет педалирования ложно-русской темы а даже таки и наоборот телефон редакции инфа про наш сайт,не скрою в нашей редакции такие макеты тоже есть когда рекламы нет и называются они затычками пардон за ассоциации но у нас в них нет педалирования ложно-русской темы а даже таки и наоборот телефон редакции инфа про наш сайт,"['не', 'скрою', 'в', 'нашей', 'редакции', 'такие', 'макеты', 'тоже', 'есть', 'когда', 'рекламы', 'нет', 'и', 'называются', 'они', 'затычками', 'пардон', 'за', 'ассоциации', 'но', 'у', 'нас', 'в', 'них', 'нет', 'педалирования', 'ложно-русской', 'темы', 'а', 'даже', 'таки', 'и', 'наоборот', 'телефон', 'редакции', 'инфа', 'про', 'наш', 'сайт']","['не', 'скрою', 'в', 'нашей', 'редакции', 'такие', 'макеты', 'тоже', 'есть', 'когда', 'рекламы', 'нет', 'и', 'называются', 'они', 'затычками', 'пардон', 'за', 'ассоциации', 'но', 'у', 'нас', 'в', 'них', 'нет', 'педалирования', 'ложно-русской', 'темы', 'а', 'даже', 'таки', 'и', 'наоборот', 'телефон', 'редакции', 'инфа', 'про', 'наш', 'сайт']","(-546.8125623829604, 'не скрою в нашей редакции такие макеты тоже есть когда рекламы нет и называются они затычками пардон за ассоциации но у нас в них нет педалирования ложно-русской темы а даже таки и наоборот телефон редакции инфа про наш сайт')","(-546.7384540261373, 'не скрою в нашей редакции такие макеты тоже есть когда рекламы нет и называются они затычками пардон за ассоциации но у нас в них нет педалирования ложно-русской темы а даже таки и наоборот телефон редакции инфа про наш сайт')"
487,в кои-то веки зашла в этот журнал почиститься от спама поэтому чтобы два раза не вставать вот вам картинка относительно свежая,в кои-то веки зашла в этот журнал почиститься от спама поэтому чтобы два раза не вставать вот вам картинка относительно свежая,"['в', 'кои-то', 'веки', 'зашла', 'в', 'этот', 'журнал', 'почиститься', 'от', 'спама', 'поэтому', 'чтобы', 'два', 'раза', 'не', 'вставать', 'вот', 'вам', 'картинка', 'относительно', 'свежая']","['в', 'кои-то', 'веки', 'зашла', 'в', 'этот', 'журнал', 'почиститься', 'от', 'спама', 'поэтому', 'чтобы', 'два', 'раза', 'не', 'вставать', 'вот', 'вам', 'картинка', 'относительно', 'свежая']","(-267.1090031787034, 'в кои-то веки зашла в этот журнал почиститься от спама поэтому чтобы два раза не вставать вот вам картинка относительно свежая')","(-267.0664143562364, 'в кои-то веки зашла в этот журнал почиститься от спама поэтому чтобы два раза не вставать вот вам картинка относительно свежая')"
488,меня рекомендовал один зам директора и мой будущий непосредственный начальник благосклонен,меня рекомендовал один зам директора и мой будущий непосредственный начальник благосклонен,"['меня', 'рекомендовал', 'один', 'зам', 'директора', 'и', 'мой', 'будущий', 'непосредственный', 'начальник', 'благосклонен']","['меня', 'рекомендовал', 'один', 'зам', 'директора', 'и', 'мой', 'будущий', 'непосредственный', 'начальник', 'благосклонен']","(-174.53208482336072, 'меня рекомендовал один зам директора и мой будущий непосредственный начальник благосклонен')","(-174.52806737893928, 'меня рекомендовал один зам директора и мой будущий непосредственный начальник благосклонен')"
489,герой умершей страны готика выражающая перманентное настроение саппортов и иже с ними,герой умершей страны готика выражающая перманентное настроение саппортов и иже с ними,"['герой', 'умершей', 'страны', 'готика', 'выражающая', 'перманентное', 'настроение', 'саппортов', 'и', 'иже', 'с', 'ними']","['герой', 'умершей', 'страны', 'готика', 'выражающая', 'перманентное', 'настроение', 'саппортов', 'и', 'иже', 'с', 'ними']","(-215.98438649055032, 'герой умершей страны готика выражающая перманентное настроение саппортов и иже с ними')","(-215.96250816667353, 'герой умершей страны готика выражающая перманентное настроение саппортов и иже с ними')"
490,стараюсь больше общаться с людми,стараюсь больше общаться с людьми,"['стараюсь', 'больше', 'общаться', 'с', 'людми']","['стараюсь', 'больше', 'общаться', 'с', 'людьми']","(-63.80590028174166, 'стараюсь больше общаться с людьми')","(-68.34340646700254, 'стараюсь больше общаться с людми')"
491,я и слов то таких не знаю и вопще вот чему взрослые детей учат выражаються тут понимаешь,я и слов-то таких не знаю и вообще вот чему взрослые детей учат выражаются тут понимаешь,"['я', 'и', 'слов', 'то', 'таких', 'не', 'знаю', 'и', 'вопще', 'вот', 'чему', 'взрослые', 'детей', 'учат', 'выражаються', 'тут', 'понимаешь']","['я', 'и', 'слов-то', 'таких', 'не', 'знаю', 'и', 'вообще', 'вот', 'чему', 'взрослые', 'детей', 'учат', 'выражаются', 'тут', 'понимаешь']","(-226.95925754890723, 'я и слов-то таких не знаю и вообще вот чему взрослые детей учат выражаются тут понимаешь')","(-255.11322177021475, 'я и слов то таких не знаю и вопще вот чему взрослые детей учат выражаються тут понимаешь')"
492,я неверю в судьбу представишь себе как ктото дергает за ниточки и управляет тобой как ты пляшешь под чьюто дудку,я не верю в судьбу представишь себе как кто-то дергает за ниточки и управляет тобой как ты пляшешь под чью-то дудку,"['я', 'неверю', 'в', 'судьбу', 'представишь', 'себе', 'как', 'ктото', 'дергает', 'за', 'ниточки', 'и', 'управляет', 'тобой', 'как', 'ты', 'пляшешь', 'под', 'чьюто', 'дудку']","['я', 'не', 'верю', 'в', 'судьбу', 'представишь', 'себе', 'как', 'кто-то', 'дергает', 'за', 'ниточки', 'и', 'управляет', 'тобой', 'как', 'ты', 'пляшешь', 'под', 'чью-то', 'дудку']","(-228.40177499277866, 'я не верю в судьбу представишь себе как кто-то дергает за ниточки и управляет тобой как ты пляшешь под чью-то дудку')","(-284.9535431685462, 'я неверю в судьбу представишь себе как ктото дергает за ниточки и управляет тобой как ты пляшешь под чьюто дудку')"
493,ты сам себе создаешь проблемы пойми что мир не будет приклонятся перед тобой и притиратся к твоим взглядам,ты сам себе создаешь проблемы пойми что мир не будет преклоняться перед тобой и притираться к твоим взглядам,"['ты', 'сам', 'себе', 'создаешь', 'проблемы', 'пойми', 'что', 'мир', 'не', 'будет', 'приклонятся', 'перед', 'тобой', 'и', 'притиратся', 'к', 'твоим', 'взглядам']","['ты', 'сам', 'себе', 'создаешь', 'проблемы', 'пойми', 'что', 'мир', 'не', 'будет', 'преклоняться', 'перед', 'тобой', 'и', 'притираться', 'к', 'твоим', 'взглядам']","(-197.88553933105618, 'ты сам себе создаешь проблемы пойми что мир не будет преклоняться перед тобой и притираться к твоим взглядам')","(-208.71981141368, 'ты сам себе создаешь проблемы пойми что мир не будет приклонятся перед тобой и притиратся к твоим взглядам')"
494,здарова мы живем в реальном мире и поэтому зачастую нам приходится иметь дело,здорово мы живем в реальном мире и поэтому зачастую нам приходится иметь дело,"['здарова', 'мы', 'живем', 'в', 'реальном', 'мире', 'и', 'поэтому', 'зачастую', 'нам', 'приходится', 'иметь', 'дело']","['здорово', 'мы', 'живем', 'в', 'реальном', 'мире', 'и', 'поэтому', 'зачастую', 'нам', 'приходится', 'иметь', 'дело']","(-129.4893970567706, 'здорово мы живем в реальном мире и поэтому зачастую нам приходится иметь дело')","(-118.28005778000285, 'здарова мы живем в реальном мире и поэтому зачастую нам приходится иметь дело')"
495,ну вот только меряться достижениями не надо,ну вот только мериться достижениями не надо,"['ну', 'вот', 'только', 'меряться', 'достижениями', 'не', 'надо']","['ну', 'вот', 'только', 'мериться', 'достижениями', 'не', 'надо']","(-108.6426601630317, 'ну вот только мериться достижениями не надо')","(-109.78311540832257, 'ну вот только меряться достижениями не надо')"
496,понимаешь грит они на меня надеятся,понимаешь говорит они на меня надеятся,"['понимаешь', 'грит', 'они', 'на', 'меня', 'надеятся']","['понимаешь', 'говорит', 'они', 'на', 'меня', 'надеятся']","(-140.04648960615935, 'понимаешь говорит они на меня надеятся')","(-155.6019032536273, 'понимаешь грит они на меня надеятся')"
497,возвращаясь к вопросу транспорта есть и машины огого какие авто и автобусы и прочее но все-таки вышекуказанные тарахтелки занимают первое место,возвращаясь к вопросу транспорта есть и машины ого-го какие авто и автобусы и прочее но все-таки вышеуказанные тарахтелки занимают первое место,"['возвращаясь', 'к', 'вопросу', 'транспорта', 'есть', 'и', 'машины', 'огого', 'какие', 'авто', 'и', 'автобусы', 'и', 'прочее', 'но', 'все-таки', 'вышекуказанные', 'тарахтелки', 'занимают', 'первое', 'место']","['возвращаясь', 'к', 'вопросу', 'транспорта', 'есть', 'и', 'машины', 'ого-го', 'какие', 'авто', 'и', 'автобусы', 'и', 'прочее', 'но', 'все-таки', 'вышеуказанные', 'тарахтелки', 'занимают', 'первое', 'место']","(-309.70482769394704, 'возвращаясь к вопросу транспорта есть и машины ого-го какие авто и автобусы и прочее но все-таки вышеуказанные тарахтелки занимают первое место')","(-323.8956271474541, 'возвращаясь к вопросу транспорта есть и машины огого какие авто и автобусы и прочее но все-таки вышекуказанные тарахтелки занимают первое место')"
498,"ну за 1,5 недели я врядли замуж выйду вероятность петерь есть но такая же как и обычно так что","ну за 1,5 недели я вряд ли замуж выйду вероятность теперь есть но такая же как и обычно так что","['ну', 'за', '1,5', 'недели', 'я', 'врядли', 'замуж', 'выйду', 'вероятность', 'петерь', 'есть', 'но', 'такая', 'же', 'как', 'и', 'обычно', 'так', 'что']","['ну', 'за', '1,5', 'недели', 'я', 'вряд', 'ли', 'замуж', 'выйду', 'вероятность', 'теперь', 'есть', 'но', 'такая', 'же', 'как', 'и', 'обычно', 'так', 'что']","(-276.2775473798579, 'ну за 1,5 недели я вряд ли замуж выйду вероятность теперь есть но такая же как и обычно так что')","(-303.06252909759195, 'ну за 1,5 недели я врядли замуж выйду вероятность петерь есть но такая же как и обычно так что')"
499,отдельно жж отдельно другие блог-системы отдельно форумы отделно сетевые сми слабы механизмы вовлечения реала,отдельно жж отдельно другие блог-системы отдельно форумы отдельно сетевые сми слабы механизмы вовлечения реала,"['отдельно', 'жж', 'отдельно', 'другие', 'блог-системы', 'отдельно', 'форумы', 'отделно', 'сетевые', 'сми', 'слабы', 'механизмы', 'вовлечения', 'реала']","['отдельно', 'жж', 'отдельно', 'другие', 'блог-системы', 'отдельно', 'форумы', 'отдельно', 'сетевые', 'сми', 'слабы', 'механизмы', 'вовлечения', 'реала']","(-348.73219304977545, 'отдельно жж отдельно другие блог-системы отдельно форумы отдельно сетевые сми слабы механизмы вовлечения реала')","(-341.28440165108344, 'отдельно жж отдельно другие блог-системы отдельно форумы отделно сетевые сми слабы механизмы вовлечения реала')"
500,как не хочеться верить в эту фразу,как не хочется верить в эту фразу,"['как', 'не', 'хочеться', 'верить', 'в', 'эту', 'фразу']","['как', 'не', 'хочется', 'верить', 'в', 'эту', 'фразу']","(-75.3648306740303, 'как не хочется верить в эту фразу')","(-98.5612055010305, 'как не хочеться верить в эту фразу')"
501,столетний мишка точь в точь из мультика старая игрушка,столетний мишка точь-в-точь из мультика старая игрушка,"['столетний', 'мишка', 'точь', 'в', 'точь', 'из', 'мультика', 'старая', 'игрушка']","['столетний', 'мишка', 'точь-в-точь', 'из', 'мультика', 'старая', 'игрушка']","(-148.15976677803746, 'столетний мишка точь-в-точь из мультика старая игрушка')","(-159.8786850729506, 'столетний мишка точь в точь из мультика старая игрушка')"
502,софта не сказать что мало но нехватает точно,софта не сказать что мало но не хватает точно,"['софта', 'не', 'сказать', 'что', 'мало', 'но', 'нехватает', 'точно']","['софта', 'не', 'сказать', 'что', 'мало', 'но', 'не', 'хватает', 'точно']","(-153.2345965822796, 'софта не сказать что мало но не хватает точно')","(-170.70737348158877, 'софта не сказать что мало но нехватает точно')"
503,а может посидеть несколько ночей в поисках формы предать им вид эссе рассказов глав одной повести,а может посидеть несколько ночей в поисках формы придать им вид эссе рассказов глав одной повести,"['а', 'может', 'посидеть', 'несколько', 'ночей', 'в', 'поисках', 'формы', 'предать', 'им', 'вид', 'эссе', 'рассказов', 'глав', 'одной', 'повести']","['а', 'может', 'посидеть', 'несколько', 'ночей', 'в', 'поисках', 'формы', 'придать', 'им', 'вид', 'эссе', 'рассказов', 'глав', 'одной', 'повести']","(-249.28489573278287, 'а может посидеть несколько ночей в поисках формы придать им вид эссе рассказов глав одной повести')","(-270.8912063172137, 'а может посидеть несколько ночей в поисках формы предать им вид эссе рассказов глав одной повести')"
504,первый матч игрового дня мхл принес три очка крыльям советов во встрече с мхк динамо,первый матч игрового дня мхл принес три очка крыльям советов во встрече с мхк динамо,"['первый', 'матч', 'игрового', 'дня', 'мхл', 'принес', 'три', 'очка', 'крыльям', 'советов', 'во', 'встрече', 'с', 'мхк', 'динамо']","['первый', 'матч', 'игрового', 'дня', 'мхл', 'принес', 'три', 'очка', 'крыльям', 'советов', 'во', 'встрече', 'с', 'мхк', 'динамо']","(-219.67752096416675, 'первый матч игрового дня мхл принес три очка крыльям советов во встрече с мхк динамо')","(-219.6179479525828, 'первый матч игрового дня мхл принес три очка крыльям советов во встрече с мхк динамо')"
505,вот счас половником тя махну,вот сейчас половником тебя махну,"['вот', 'счас', 'половником', 'тя', 'махну']","['вот', 'сейчас', 'половником', 'тебя', 'махну']","(-117.04746714483964, 'вот сейчас половником тебя махну')","(-146.4821878119979, 'вот счас половником тя махну')"
506,за следущие 50 лет филиппинцев переучили с испанского на английский остались только характерные имена и названия но не отучили любить белого хозяина,за следующие 50 лет филиппинцев переучили с испанского на английский остались только характерные имена и названия но не отучили любить белого хозяина,"['за', 'следущие', '50', 'лет', 'филиппинцев', 'переучили', 'с', 'испанского', 'на', 'английский', 'остались', 'только', 'характерные', 'имена', 'и', 'названия', 'но', 'не', 'отучили', 'любить', 'белого', 'хозяина']","['за', 'следующие', '50', 'лет', 'филиппинцев', 'переучили', 'с', 'испанского', 'на', 'английский', 'остались', 'только', 'характерные', 'имена', 'и', 'названия', 'но', 'не', 'отучили', 'любить', 'белого', 'хозяина']","(-270.7551639199292, 'за следующие 50 лет филиппинцев переучили с испанского на английский остались только характерные имена и названия но не отучили любить белого хозяина')","(-277.7605297643662, 'за следущие 50 лет филиппинцев переучили с испанского на английский остались только характерные имена и названия но не отучили любить белого хозяина')"
507,у нас какя-то черная-черная полоса,у нас какая-то черная-черная полоса,"['у', 'нас', 'какя-то', 'черная-черная', 'полоса']","['у', 'нас', 'какая-то', 'черная-черная', 'полоса']","(-85.60758302547532, 'у нас какая-то черная-черная полоса')","(-91.18264601248717, 'у нас какя-то черная-черная полоса')"
508,да там ляпота и птички поют,да там лепота и птички поют,"['да', 'там', 'ляпота', 'и', 'птички', 'поют']","['да', 'там', 'лепота', 'и', 'птички', 'поют']","(-135.88327171135006, 'да там лепота и птички поют')","(-126.3682761287229, 'да там ляпота и птички поют')"
509,мимо тебя никто равнодушно не проходит наоборот обращают неподдельное внимание и,мимо тебя никто равнодушно не проходит наоборот обращают неподдельное внимание и,"['мимо', 'тебя', 'никто', 'равнодушно', 'не', 'проходит', 'наоборот', 'обращают', 'неподдельное', 'внимание', 'и']","['мимо', 'тебя', 'никто', 'равнодушно', 'не', 'проходит', 'наоборот', 'обращают', 'неподдельное', 'внимание', 'и']","(-178.8734091919802, 'мимо тебя никто равнодушно не проходит наоборот обращают неподдельное внимание и')","(-178.86248675360284, 'мимо тебя никто равнодушно не проходит наоборот обращают неподдельное внимание и')"
510,дальше шло всеобщее братание с флагами криками танцами,дальше шло всеобщее братание с флагами криками танцами,"['дальше', 'шло', 'всеобщее', 'братание', 'с', 'флагами', 'криками', 'танцами']","['дальше', 'шло', 'всеобщее', 'братание', 'с', 'флагами', 'криками', 'танцами']","(-156.2294555702086, 'дальше шло всеобщее братание с флагами криками танцами')","(-156.23940319073995, 'дальше шло всеобщее братание с флагами криками танцами')"
511,здесь же на улице и в небольшом ангаре его пилили и какието умельцы сразу же из него чтото делали,здесь же на улице и в небольшом ангаре его пилили и какие-то умельцы сразу же из него что-то делали,"['здесь', 'же', 'на', 'улице', 'и', 'в', 'небольшом', 'ангаре', 'его', 'пилили', 'и', 'какието', 'умельцы', 'сразу', 'же', 'из', 'него', 'чтото', 'делали']","['здесь', 'же', 'на', 'улице', 'и', 'в', 'небольшом', 'ангаре', 'его', 'пилили', 'и', 'какие-то', 'умельцы', 'сразу', 'же', 'из', 'него', 'что-то', 'делали']","(-194.0685671869303, 'здесь же на улице и в небольшом ангаре его пилили и какие-то умельцы сразу же из него что-то делали')","(-236.2864439640113, 'здесь же на улице и в небольшом ангаре его пилили и какието умельцы сразу же из него чтото делали')"
512,обажаю начинать писать текст не зная даже что будет в следующей строчке,обожаю начинать писать текст не зная даже что будет в следующей строчке,"['обажаю', 'начинать', 'писать', 'текст', 'не', 'зная', 'даже', 'что', 'будет', 'в', 'следующей', 'строчке']","['обожаю', 'начинать', 'писать', 'текст', 'не', 'зная', 'даже', 'что', 'будет', 'в', 'следующей', 'строчке']","(-176.86595186535044, 'обожаю начинать писать текст не зная даже что будет в следующей строчке')","(-168.73547177762435, 'обажаю начинать писать текст не зная даже что будет в следующей строчке')"
513,в озерском районе жена бывшего градоначальника приобрела добрый кусок калининградской земли и открыла конезавод с романтичным названием веедерн,в озерском районе жена бывшего градоначальника приобрела добрый кусок калининградской земли и открыла конезавод с романтичным названием веедерн,"['в', 'озерском', 'районе', 'жена', 'бывшего', 'градоначальника', 'приобрела', 'добрый', 'кусок', 'калининградской', 'земли', 'и', 'открыла', 'конезавод', 'с', 'романтичным', 'названием', 'веедерн']","['в', 'озерском', 'районе', 'жена', 'бывшего', 'градоначальника', 'приобрела', 'добрый', 'кусок', 'калининградской', 'земли', 'и', 'открыла', 'конезавод', 'с', 'романтичным', 'названием', 'веедерн']","(-189.02705013056936, 'в озерском районе жена бывшего градоначальника приобрела добрый кусок калининградской земли и открыла конезавод с романтичным названием веедерн')","(-189.0099699168102, 'в озерском районе жена бывшего градоначальника приобрела добрый кусок калининградской земли и открыла конезавод с романтичным названием веедерн')"
514,вчера все русские девчонки включая увы и меня были пьяны,вчера все русские девчонки включая увы и меня были пьяны,"['вчера', 'все', 'русские', 'девчонки', 'включая', 'увы', 'и', 'меня', 'были', 'пьяны']","['вчера', 'все', 'русские', 'девчонки', 'включая', 'увы', 'и', 'меня', 'были', 'пьяны']","(-175.03832459342016, 'вчера все русские девчонки включая увы и меня были пьяны')","(-175.03476161112002, 'вчера все русские девчонки включая увы и меня были пьяны')"
515,как часто каким способом и для чего мы открываем двери,как часто каким способом и для чего мы открываем двери,"['как', 'часто', 'каким', 'способом', 'и', 'для', 'чего', 'мы', 'открываем', 'двери']","['как', 'часто', 'каким', 'способом', 'и', 'для', 'чего', 'мы', 'открываем', 'двери']","(-117.11155373765096, 'как часто каким способом и для чего мы открываем двери')","(-117.15112947745932, 'как часто каким способом и для чего мы открываем двери')"
516,отличное чувство юмора продемонстрировано в комменте к книге полковника квачкова,отличное чувство юмора продемонстрировано в комменте к книге полковника квачкова,"['отличное', 'чувство', 'юмора', 'продемонстрировано', 'в', 'комменте', 'к', 'книге', 'полковника', 'квачкова']","['отличное', 'чувство', 'юмора', 'продемонстрировано', 'в', 'комменте', 'к', 'книге', 'полковника', 'квачкова']","(-141.9882462053876, 'отличное чувство юмора продемонстрировано в комменте к книге полковника квачкова')","(-141.99341752220886, 'отличное чувство юмора продемонстрировано в комменте к книге полковника квачкова')"
517,кованые серебрянные ворота богатые оклады все это порастащили в советское время иконы рубили и сжигали на набережной она тут в двух шагах,кованые серебряные ворота богатые оклады все это порастащили в советское время иконы рубили и сжигали на набережной она тут в двух шагах,"['кованые', 'серебрянные', 'ворота', 'богатые', 'оклады', 'все', 'это', 'порастащили', 'в', 'советское', 'время', 'иконы', 'рубили', 'и', 'сжигали', 'на', 'набережной', 'она', 'тут', 'в', 'двух', 'шагах']","['кованые', 'серебряные', 'ворота', 'богатые', 'оклады', 'все', 'это', 'порастащили', 'в', 'советское', 'время', 'иконы', 'рубили', 'и', 'сжигали', 'на', 'набережной', 'она', 'тут', 'в', 'двух', 'шагах']","(-297.47297352905275, 'кованые серебряные ворота богатые оклады все это порастащили в советское время иконы рубили и сжигали на набережной она тут в двух шагах')","(-307.5593979966206, 'кованые серебрянные ворота богатые оклады все это порастащили в советское время иконы рубили и сжигали на набережной она тут в двух шагах')"
518,в конце както обидно было что вес так быстро закончалось,в конце как-то обидно было что все так быстро закончилось,"['в', 'конце', 'както', 'обидно', 'было', 'что', 'вес', 'так', 'быстро', 'закончалось']","['в', 'конце', 'как-то', 'обидно', 'было', 'что', 'все', 'так', 'быстро', 'закончилось']","(-127.72474400478498, 'в конце как-то обидно было что все так быстро закончилось')","(-169.65516387023334, 'в конце както обидно было что вес так быстро закончалось')"
519,как законы физики неживой природы самым кардинальным образом отличаются от законов биологии живой природы так и понятие биологического животного иммунитета нелепо копировать в области социальных человеческих отношений,как законы физики неживой природы самым кардинальным образом отличаются от законов биологии живой природы так и понятие биологического животного иммунитета нелепо копировать в области социальных человеческих отношений,"['как', 'законы', 'физики', 'неживой', 'природы', 'самым', 'кардинальным', 'образом', 'отличаются', 'от', 'законов', 'биологии', 'живой', 'природы', 'так', 'и', 'понятие', 'биологического', 'животного', 'иммунитета', 'нелепо', 'копировать', 'в', 'области', 'социальных', 'человеческих', 'отношений']","['как', 'законы', 'физики', 'неживой', 'природы', 'самым', 'кардинальным', 'образом', 'отличаются', 'от', 'законов', 'биологии', 'живой', 'природы', 'так', 'и', 'понятие', 'биологического', 'животного', 'иммунитета', 'нелепо', 'копировать', 'в', 'области', 'социальных', 'человеческих', 'отношений']","(-310.45507358706226, 'как законы физики неживой природы самым кардинальным образом отличаются от законов биологии живой природы так и понятие биологического животного иммунитета нелепо копировать в области социальных человеческих отношений')","(-310.4589487486148, 'как законы физики неживой природы самым кардинальным образом отличаются от законов биологии живой природы так и понятие биологического животного иммунитета нелепо копировать в области социальных человеческих отношений')"
520,да я знаю все что было и признаю гдето неправ я а где то кто то еще,да я знаю все что было и признаю где-то неправ я а где-то кто-то еще,"['да', 'я', 'знаю', 'все', 'что', 'было', 'и', 'признаю', 'гдето', 'неправ', 'я', 'а', 'где', 'то', 'кто', 'то', 'еще']","['да', 'я', 'знаю', 'все', 'что', 'было', 'и', 'признаю', 'где-то', 'неправ', 'я', 'а', 'где-то', 'кто-то', 'еще']","(-236.62106435831296, 'да я знаю все что было и признаю где-то неправ я а где-то кто-то еще')","(-260.56487030945584, 'да я знаю все что было и признаю гдето неправ я а где то кто то еще')"
521,в верхней пышме под открытым небом есть музей военной техники,в верхней пышме под открытым небом есть музей военной техники,"['в', 'верхней', 'пышме', 'под', 'открытым', 'небом', 'есть', 'музей', 'военной', 'техники']","['в', 'верхней', 'пышме', 'под', 'открытым', 'небом', 'есть', 'музей', 'военной', 'техники']","(-101.29339727956457, 'в верхней пышме под открытым небом есть музей военной техники')","(-101.28582277556792, 'в верхней пышме под открытым небом есть музей военной техники')"
522,в качестве приложения капитан рауль старший и младший помошник боцман и юнга карлос и кок алиас готовил между прочим отлично,в качестве приложения капитан рауль старший и младший помощник боцман и юнга карлос и кок алиас готовил между прочим отлично,"['в', 'качестве', 'приложения', 'капитан', 'рауль', 'старший', 'и', 'младший', 'помошник', 'боцман', 'и', 'юнга', 'карлос', 'и', 'кок', 'алиас', 'готовил', 'между', 'прочим', 'отлично']","['в', 'качестве', 'приложения', 'капитан', 'рауль', 'старший', 'и', 'младший', 'помощник', 'боцман', 'и', 'юнга', 'карлос', 'и', 'кок', 'алиас', 'готовил', 'между', 'прочим', 'отлично']","(-309.61057443689737, 'в качестве приложения капитан рауль старший и младший помощник боцман и юнга карлос и кок алиас готовил между прочим отлично')","(-320.7304624540023, 'в качестве приложения капитан рауль старший и младший помошник боцман и юнга карлос и кок алиас готовил между прочим отлично')"
523,реально вижу как растет очередь на жилье изза прошедшых сокращений у остальных же просто происходит интоксикация организма после бурного застолья,реально вижу как растет очередь на жилье из-за прошедших сокращений у остальных же просто происходит интоксикация организма после бурного застолья,"['реально', 'вижу', 'как', 'растет', 'очередь', 'на', 'жилье', 'изза', 'прошедшых', 'сокращений', 'у', 'остальных', 'же', 'просто', 'происходит', 'интоксикация', 'организма', 'после', 'бурного', 'застолья']","['реально', 'вижу', 'как', 'растет', 'очередь', 'на', 'жилье', 'из-за', 'прошедших', 'сокращений', 'у', 'остальных', 'же', 'просто', 'происходит', 'интоксикация', 'организма', 'после', 'бурного', 'застолья']","(-243.17887854490388, 'реально вижу как растет очередь на жилье из-за прошедших сокращений у остальных же просто происходит интоксикация организма после бурного застолья')","(-257.920177667903, 'реально вижу как растет очередь на жилье изза прошедшых сокращений у остальных же просто происходит интоксикация организма после бурного застолья')"
524,очень хотелось проделать стандартную для меня процедуру выпеть кофе с сыром,очень хотелось проделать стандартную для меня процедуру выпить кофе с сыром,"['очень', 'хотелось', 'проделать', 'стандартную', 'для', 'меня', 'процедуру', 'выпеть', 'кофе', 'с', 'сыром']","['очень', 'хотелось', 'проделать', 'стандартную', 'для', 'меня', 'процедуру', 'выпить', 'кофе', 'с', 'сыром']","(-128.57142678196942, 'очень хотелось проделать стандартную для меня процедуру выпить кофе с сыром')","(-131.04888707058498, 'очень хотелось проделать стандартную для меня процедуру выпеть кофе с сыром')"
525,ситуация врядли изменится потомучто люди у нас склонны сами определять что хорошо,ситуация вряд ли изменится потому что люди у нас склонны сами определять что хорошо,"['ситуация', 'врядли', 'изменится', 'потомучто', 'люди', 'у', 'нас', 'склонны', 'сами', 'определять', 'что', 'хорошо']","['ситуация', 'вряд', 'ли', 'изменится', 'потому', 'что', 'люди', 'у', 'нас', 'склонны', 'сами', 'определять', 'что', 'хорошо']","(-149.78173544457567, 'ситуация вряд ли изменится потому что люди у нас склонны сами определять что хорошо')","(-180.2571808265432, 'ситуация врядли изменится потомучто люди у нас склонны сами определять что хорошо')"
